tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,views,hashtags
1105029551510470661,15819466,Mon Mar 11 08:55:50 +0000 2019,"Do you know that Piggyvest  is helping low amp middleincome Nigerians, to achieve financial freedom in Nigeria BNSC",https://t.co/T1qcsdJ64f,@PiggyBankNG,en,8,3,0,0,,Piggyvest BNSC
1095611744892977153,3091632496,Wed Feb 13 09:12:50 +0000 2019,"BRIEF Digital savings app, Piggybank rebrands to PiggyVest",https://t.co/qBfu0nDLZU,,en,0,0,0,0,,
1100470072194158592,1427565012,Tue Feb 26 18:58:05 +0000 2019,"BHH Podcast Piggybank becomes Piggyvest, we ask why",https://t.co/BARD3cOvmV,,en,2,3,0,0,,
1094865343535898624,873925938,Mon Feb 11 07:46:54 +0000 2019,"It's going to take time getting used to the change name as usual but I'm sure there's a plan in place for that, however changing core savings to Piggybank Savings is so brilliant. It's also so appropriate. Let's see where PiggyVest leads us. I'm excited.",https://t.co/0N2cQb9vgk,,en,10,2,1,1,,
1094862153557909504,873925938,Mon Feb 11 07:34:13 +0000 2019,I can imagine what PiggyVest could be. It's huge. ,https://t.co/y13I81LofZ,,en,2,1,0,0,,
1094861164914323456,873925938,Mon Feb 11 07:30:17 +0000 2019,is changing to PiggyVest.,https://t.co/d8WRqTK9sD,@PiggyBankNG,en,1,2,1,0,,
1094759470410973184,23231666,Mon Feb 11 00:46:12 +0000 2019,becomes PiggyVest,https://t.co/PTkYpKwzZl,,lt,6,2,0,0,,
1094900966250479616,4714760909,Mon Feb 11 10:08:27 +0000 2019,Your core savings is now known as your Piggybank savings. Its still your digital kolo,https://t.co/BEDHDyGJoV,@ItsJoeBee,en,1,1,2,0,,
1094873252105732096,750802966735642625,Mon Feb 11 08:18:19 +0000 2019,"Amazing read amp congrats on transiting into PIGGYVEST. Looking forward to the future with you Also, thanks for the bonus you guys just credited me with for taking the survey. May GOD continue to expand your brand and coast exponentially well. Many thanks and GOD Bless PiggyVest",https://t.co/39DeroudeL,@PiggyBankNG,en,4,2,0,0,,
1094886797547655168,170703746,Mon Feb 11 09:12:09 +0000 2019,"Daily ajor lol. Same with daily savings. Piggybankng amp piggyvest are the same, just with different interest rates on withdrawals. U get me",,@GrizzyGrey,en,0,0,1,0,,
1094759478334029824,1427565012,Mon Feb 11 00:46:13 +0000 2019,becomes PiggyVest,https://t.co/ULke3ru1qj,,lt,3,3,0,0,,
1094910714194493441,4853245847,Mon Feb 11 10:47:11 +0000 2019,"becomes PiggyVest, announces expansion plans ",https://t.co/9xeNrV53Px,,en,0,0,0,0,,
1094763831333548033,780767705959796737,Mon Feb 11 01:03:31 +0000 2019,BREAKING becomes PiggyVest ,https://t.co/uJ86xBxmW8,,en,0,0,0,0,,
1094900493644640256,183461082,Mon Feb 11 10:06:34 +0000 2019,i liked piggybank now i dont know what a piggyvest is.,,,en,1,0,0,0,,
1094881245031550976,256781118,Mon Feb 11 08:50:05 +0000 2019,"Leave and use piggyvest for whatever you want to use it for. Good to be innovative but that brand is already growing, don't try to do too much at Same time. Keep the old name. My one cent",,@PiggyBankNG @PiggyBankNG,en,3,0,0,0,,
1094880702183755776,2745471659,Mon Feb 11 08:47:55 +0000 2019,So Piggybankng is changing their name to PiggyVest. Hopefully more investment options is coming our way.,,,en,14,6,2,1,,
1094905589833043968,216622186,Mon Feb 11 10:26:49 +0000 2019,I just answered that piggyvest survey and got 500naira in my flex account ,,,en,1,0,2,0,,
1094870887512322049,3379035195,Mon Feb 11 08:08:55 +0000 2019,PayVest PiggyVest ,,,hu,0,0,0,0,,
1094906620348416000,126874000,Mon Feb 11 10:30:55 +0000 2019,Piggybankng is now PiggyVest,,,en,1,0,0,0,,
1094898424569311234,183461082,Mon Feb 11 09:58:21 +0000 2019,so piggyvest ,,,lt,0,0,0,0,,
1094754940428398592,767453661391904769,Mon Feb 11 00:28:12 +0000 2019,Now PiggyVest,https://t.co/5WwjfAy9Gh,,hu,0,0,0,0,,
1093483064263696384,4714760909,Thu Feb 07 12:14:13 +0000 2019,You can follow the session LIVE on our Instagram page,https://t.co/iJIFvuYgQR,@PiggyBankNG,en,1,2,2,0,,
